pk_id,image_cap,image_obj
1,"['a group of people standing next to each other .', 'a group of people standing around each other .', 'a group of people standing next to each other in a room .']","[""pajama, pyjama, pj's, jammies"", 'sarong']"
2,"['a close up of a stop sign on a city street', 'a close up of a stop sign on a street', 'a close up of a refrigerator with a sign on it']","['lighter, light, igniter, ignitor', 'screen, CRT screen']"
3,"['a man wearing a hat and a tie .', 'a woman wearing a hat and a tie .', 'a woman wearing a hat and a tie']","['trench coat', 'cardigan']"
4,"['a bunch of flowers that are on a table .', 'a bunch of flowers that are sitting on a table .', 'a bunch of flowers that are in a vase .']","['pot, flowerpot']"
5,"['a clock on a table with a clock', 'a clock on a table next to a lamp', 'a clock on a table next to a clock']","['eggnog', 'analog clock']"
6,"['a close up of a baseball glove on a table', 'a close up of a baseball glove with a hat on it', 'a close up of a baseball glove with a hat']","['jigsaw puzzle', 'doormat, welcome mat']"
7,"['a close up of a baseball glove on a table', 'a close up of a baseball glove with a hat on it', 'a close up of a baseball glove with a hat']","['jigsaw puzzle', 'doormat, welcome mat']"
8,"['a close up of a baseball glove on a table', 'a close up of a baseball glove with a hat on it', 'a close up of a baseball glove with a hat']","['jigsaw puzzle', 'doormat, welcome mat']"
9,"['a train traveling down tracks next to a bridge .', 'a train traveling down tracks next to a building .', 'a train traveling down train tracks next to a bridge .']","['bullet train, bullet', 'streetcar, tram, tramcar, trolley, trolley car']"
10,"['a teddy bear sitting on top of a toilet .', 'a teddy bear sitting on top of a toilet seat .', 'a teddy bear sitting on a toilet seat .']","['piggy bank, penny bank', 'ping-pong ball']"
11,"['a scenic view of a mountain range with mountains in the background .', 'a scenic view of a mountain range with a mountain in the background .', 'a scenic view of a mountain range with mountains in the distance .']","['valley, vale', 'alp']"
12,"['a birthday cake with a train on it', 'a birthday cake with a train on it .', 'a cake shaped like a train on a table .']","['mailbag, postbag', 'purse']"
13,"['a black and white photo of a person holding a clock .', 'a black and white photo of a man holding a tennis racket .', 'a black and white photo of a person holding a clock']","['comic book', 'mask']"
14,"['a bunch of green bananas hanging from a tree .', 'a bunch of green bananas hanging from a tree', 'a bunch of green bananas growing on a tree .']","['pot, flowerpot', 'coucal']"
15,"['a kite flying in the sky over a city .', 'a kite flying in the sky over a field .', 'a kite flying in the sky over a city']","['solar dish, solar collector, solar furnace', 'radio telescope, radio reflector']"
16,"['a teddy bear sitting on top of a bed .', 'a teddy bear is laying on a bed .', 'a teddy bear is laying on a bed']","['teddy, teddy bear', 'quilt, comforter, comfort, puff']"
17,"['a group of people sitting on a bench .', 'a group of people sitting on a bench in a park .', 'a group of people sitting on a bench in a field .']","['lab coat, laboratory coat', 'marimba, xylophone']"
18,"['a person flying a kite in a blue sky .', 'a person flying a kite in the sky .', 'a person flying a kite on a clear day .']","['parachute, chute']"
19,"['a person flying a kite in a blue sky .', 'a person flying a kite in the sky .', 'a person flying a kite on a clear day .']","['parachute, chute']"
20,"['a train traveling through a lush green countryside .', 'a train on a train track with a sky background', 'a train on a train track near a body of water']","['alp', 'lumbermill, sawmill']"
21,"['a group of people standing around a cake .', 'a group of people standing around a table with a cake .', 'a group of people standing in front of a building .']","['tusker', 'torch']"
22,"['a bunch of flowers that are in a vase .', 'a bunch of flowers that are in a vase', 'a bunch of flowers in a vase on a table .']","['handkerchief, hankie, hanky, hankey', 'tray']"
23,"['a plane is flying over a city street .', 'a plane is flying over a city street', 'an airplane flying over a city street with a building in the background .']","['lakeside, lakeshore', 'steel arch bridge']"
24,"['a group of animals grazing in a field .', 'a group of animals grazing in a field with mountains in the background .', 'a view of a mountain range with a plane in the background .']","['valley, vale', 'alp']"
25,"['a red fire hydrant sitting in the middle of a field .', 'a giraffe standing in the middle of a lush green field .', 'a giraffe standing in the middle of a field .']","['lakeside, lakeshore', 'balloon']"
26,"['a man riding a skateboard down the side of a ramp .', 'a man riding a skateboard down a ramp .', 'a person on a skateboard doing a trick .']","['monitor', 'television, television system']"
27,"['a large mountain range with mountains in the background .', 'a large mountain range with a mountain range .', 'a large mountain range with mountains in the background']","['valley, vale', 'alp']"
28,"['a man in a baseball uniform throwing a baseball .', 'a man in a baseball uniform throwing a ball .', 'a man in a baseball uniform holding a baseball bat .']","['ballplayer, baseball player', 'baseball']"
